Age,Female,Country,CountryID,Region,RegionID,Ext,Ner,Agr,Con,Ope,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
18,0,US,73,NorthAmerica,7,3.3,1.7,2.5,2.3,4.6,3,2,3,4,3,2,3,2,4,3,1,5,2,3,1,1,1,1,1,5,3,2,4,2,4,4,4,2,2,4,3,4,5,4,1,4,2,3,1,2,5,1,5,1,5,5,5,5,5,5
18,0,US,73,NorthAmerica,7,4.5,1.8,2.7,2.8,4.6,3,1,5,1,5,1,4,1,5,3,1,5,5,5,3,1,3,1,1,1,4,4,5,4,4,3,3,3,2,3,3,5,5,3,1,4,4,4,4,3,5,2,5,3,5,1,5,5,4,5
18,0,US,73,NorthAmerica,7,4.2,2.1,4.5,3.4,3.1,4,2,5,1,4,2,4,2,5,3,1,5,4,3,2,2,3,1,1,3,2,5,1,4,1,4,2,5,5,4,3,1,4,2,3,3,2,3,4,3,3,4,3,2,3,2,3,2,4,3
18,0,US,73,NorthAmerica,7,4.4,1.2,4.9,2.8,4.6,4,1,5,1,5,1,4,3,5,3,1,5,1,5,3,1,1,1,1,1,2,5,1,5,1,5,1,5,5,5,4,5,4,1,1,4,3,3,1,4,4,2,5,1,4,1,5,4,5,5
18,0,US,73,NorthAmerica,7,2.5,1.7,1.2,3,4.8,1,3,3,3,2,2,2,3,2,4,1,5,1,4,1,3,2,2,3,1,5,1,4,1,5,1,5,1,1,2,3,2,5,2,1,3,3,4,2,3,5,1,5,2,5,1,5,5,4,5
18,0,US,73,NorthAmerica,7,2.1,2.6,2.8,2.1,4.5,2,5,5,5,3,4,2,5,2,4,1,5,1,2,2,1,5,5,1,5,4,5,3,3,4,3,4,3,2,3,2,4,4,4,1,4,3,4,1,2,4,1,5,1,5,1,5,4,2,5
18,0,US,73,NorthAmerica,7,2.5,2.8,2.5,4.2,3.5,3,3,3,4,4,4,3,5,2,4,1,3,4,2,1,2,4,2,4,3,4,3,3,2,5,3,3,3,1,4,5,2,5,3,3,2,5,2,5,4,4,5,4,2,4,2,4,2,5,3
18,0,US,73,NorthAmerica,7,2.9,1.2,2.4,4.1,3.9,4,5,5,4,4,4,4,4,3,4,1,5,1,5,2,1,1,1,1,2,5,4,4,1,5,3,3,3,2,4,4,1,4,1,4,2,4,3,4,4,4,2,3,2,4,1,5,2,4,4
18,0,US,73,NorthAmerica,7,3,1.9,4.2,4.4,3.6,3,3,3,3,3,2,2,3,4,4,1,5,4,2,1,1,1,1,1,4,1,3,1,4,2,4,3,5,4,5,5,2,4,1,4,1,4,1,4,4,4,1,2,2,4,4,5,3,4,3
18,0,US,73,NorthAmerica,7,1.8,3.5,2.2,4.2,4.2,1,1,1,5,1,1,1,5,1,5,1,2,3,3,3,5,4,4,5,3,3,1,1,1,3,1,4,3,2,1,4,1,1,1,5,1,5,2,5,3,5,3,5,1,4,1,4,2,4,5
18,0,US,73,NorthAmerica,7,1.9,2.5,4,3.8,3.1,1,2,3,5,2,2,1,5,1,5,1,4,3,2,3,2,4,2,2,2,5,4,1,4,2,5,2,5,5,3,4,3,5,2,3,3,5,2,3,4,3,2,1,2,5,5,4,1,3,5
18,0,US,73,NorthAmerica,7,1.1,1.8,3.1,1.8,4.4,1,5,2,5,1,5,1,5,1,5,1,5,4,4,2,2,2,2,1,1,2,5,5,4,3,5,2,2,2,1,1,5,4,4,1,4,2,4,1,2,5,2,4,1,5,2,5,5,2,5
18,0,US,73,NorthAmerica,7,2.2,2.6,4.5,3.2,4.5,3,5,3,4,2,1,2,5,2,5,1,4,4,2,1,2,3,3,2,4,1,5,2,5,2,5,1,4,4,4,4,4,5,2,3,4,2,2,2,4,4,2,5,1,4,1,4,4,5,5
18,0,US,73,NorthAmerica,7,2.1,3.3,1.9,2.2,5,4,4,2,5,2,5,5,5,2,5,1,5,2,1,5,2,4,4,4,5,5,2,5,2,5,2,4,4,2,2,2,5,5,5,2,5,2,5,2,5,5,1,5,1,5,1,5,5,5,5
18,0,US,73,NorthAmerica,7,2.6,1.8,2,1.2,4.3,5,3,3,3,2,3,1,4,3,5,1,4,1,3,1,2,2,2,2,2,5,3,5,2,4,2,4,2,2,3,2,5,2,5,1,5,1,5,1,1,4,2,5,2,5,2,5,4,4,4
18,0,US,73,NorthAmerica,7,3.1,1.6,3.3,3.4,3.7,5,5,3,4,3,3,5,2,4,5,1,5,3,3,1,2,1,1,2,1,2,2,2,3,3,4,3,3,4,3,3,3,4,3,5,5,3,1,4,3,1,4,5,2,5,1,5,1,5,4
18,0,US,73,NorthAmerica,7,2.6,3.1,3.4,3,4.5,1,3,3,5,2,1,1,2,5,5,1,4,3,5,4,5,3,4,5,3,3,4,4,4,3,4,2,3,4,3,4,1,4,5,2,3,4,5,3,3,5,2,4,1,3,1,4,5,5,5
18,0,US,73,NorthAmerica,7,3.5,2.1,2.5,2.6,3.5,1,1,4,2,3,3,5,4,3,1,2,5,2,4,4,1,3,2,3,1,3,2,2,1,5,3,3,3,2,3,3,4,4,4,3,3,2,3,1,3,1,3,5,4,5,1,5,1,3,5
18,0,US,73,NorthAmerica,7,3.4,3.3,3,3,3.3,1,1,2,1,3,1,3,5,4,1,2,1,1,3,4,5,4,1,5,3,2,1,1,3,1,4,1,1,1,1,3,3,3,3,3,1,1,5,5,3,5,1,2,3,4,5,2,3,3,5
18,0,US,73,NorthAmerica,7,4.4,1.6,3.7,3.9,3.3,4,1,4,2,4,1,4,2,5,1,2,4,2,5,3,1,1,1,2,1,2,5,3,4,2,2,2,4,3,4,4,1,4,2,3,1,4,3,4,3,3,3,5,4,3,3,4,3,4,3
18,0,US,73,NorthAmerica,7,4.6,2.3,4.4,3.7,4.6,3,1,5,2,5,1,5,2,5,1,2,3,5,3,1,1,3,1,3,1,1,5,2,5,1,3,1,4,5,3,3,3,4,3,2,3,5,1,5,4,5,2,3,1,5,1,5,5,4,5
18,0,US,73,NorthAmerica,7,2.9,2.9,4.6,3.5,4.9,2,4,5,5,5,2,2,4,2,2,2,4,4,1,1,4,2,2,2,5,5,5,1,5,1,5,1,5,5,5,4,2,4,4,2,2,4,1,4,2,5,1,5,1,5,1,5,4,5,5
18,0,US,73,NorthAmerica,7,3.4,1.9,4,3.9,3.8,3,3,4,2,4,2,3,4,3,2,2,5,3,3,2,2,2,1,2,1,2,4,1,3,1,5,2,3,4,3,4,2,4,2,4,1,3,3,4,4,4,2,3,2,4,3,4,4,3,5
18,0,US,73,NorthAmerica,7,3.1,3,3.9,3.7,4,3,2,4,3,3,1,1,5,3,2,2,4,4,2,4,2,3,2,4,3,1,4,3,4,2,4,2,4,4,3,3,2,5,2,3,2,4,3,4,3,4,2,4,3,4,2,5,2,5,5
18,0,US,73,NorthAmerica,7,4.8,2,4.6,3.1,3.7,5,1,5,1,5,1,5,1,4,2,2,4,3,2,3,2,1,1,1,1,1,5,2,4,1,5,1,5,5,3,3,3,3,1,4,3,3,2,1,2,3,2,4,2,4,2,4,2,4,4
18,0,US,73,NorthAmerica,7,4.3,2,4.1,3.2,4.3,4,1,5,1,4,1,3,2,4,2,2,5,4,2,1,1,2,2,1,2,1,5,2,4,4,4,1,4,4,4,4,3,4,1,1,4,3,2,2,4,3,1,5,1,3,1,3,4,5,5
18,0,US,73,NorthAmerica,7,3.7,3.1,3.7,4.1,3.1,3,2,5,3,3,2,3,2,4,2,2,2,3,3,3,3,4,4,2,3,4,5,2,3,2,4,2,4,3,4,4,1,4,2,3,2,4,2,5,4,2,4,3,2,4,2,3,2,3,4
18,0,US,73,NorthAmerica,7,4.5,2.5,4.1,2.8,4.4,4,1,5,1,5,2,4,2,5,2,2,4,2,3,3,3,3,2,3,2,1,5,4,5,2,4,2,4,4,4,3,4,4,3,2,4,4,4,3,3,5,2,5,2,4,1,4,4,4,5
18,0,US,73,NorthAmerica,7,3.1,2.8,3.7,4.2,4.1,3,4,4,3,3,2,2,2,3,3,2,5,2,2,2,2,4,4,4,3,3,4,2,4,2,3,2,4,4,3,3,1,4,1,4,1,5,2,3,4,4,2,5,2,4,1,3,3,5,4
18,0,US,73,NorthAmerica,7,3.3,2.5,4.2,2.8,4.4,3,2,4,3,3,2,4,4,3,3,2,5,2,3,3,1,4,3,1,5,1,5,2,4,2,5,2,4,3,4,3,4,5,3,1,3,3,4,1,5,4,1,4,1,4,2,5,4,4,5
18,0,US,73,NorthAmerica,7,3.3,1.9,4.6,3.1,4.1,2,2,5,3,4,3,2,3,4,3,2,5,4,4,2,1,3,1,2,1,1,4,2,5,2,5,1,4,5,5,5,4,4,2,2,4,4,2,1,3,4,2,5,2,4,4,5,5,4,4
18,0,US,73,NorthAmerica,7,3.3,1.8,4.5,4.7,4.8,3,3,5,4,5,4,3,3,4,3,2,5,3,5,3,1,3,2,1,1,1,5,3,5,1,3,1,5,4,5,5,1,5,1,3,1,5,1,4,5,4,1,5,1,5,1,5,4,5,5
18,0,US,73,NorthAmerica,7,3.6,1.6,3.9,3.2,4.4,4,4,4,2,4,3,5,3,4,3,2,5,3,4,1,1,1,1,3,1,2,4,3,4,2,4,2,4,4,4,3,3,4,2,1,2,3,2,2,4,5,2,5,2,4,1,4,4,4,5
18,0,US,73,NorthAmerica,7,3.3,1.8,3.8,4.2,4.3,4,3,4,3,4,3,3,4,4,3,2,5,2,4,3,1,1,2,2,2,2,5,2,3,3,2,3,5,4,5,5,4,5,2,5,3,5,2,5,4,4,1,5,3,5,2,5,4,3,5
18,0,US,73,NorthAmerica,7,4.2,2,3.5,4.6,4.6,4,2,5,2,4,2,5,2,5,3,2,5,1,5,4,2,4,1,2,2,2,4,4,4,2,3,4,4,4,4,5,3,5,1,4,2,5,1,5,5,4,1,5,1,4,1,5,4,4,5
18,0,US,73,NorthAmerica,7,3.3,2.2,2.6,2.5,5,1,2,2,2,4,1,2,3,5,3,2,5,2,5,4,2,4,2,3,1,3,4,5,2,3,2,2,3,2,2,2,4,5,4,1,5,1,1,1,5,5,1,5,1,5,1,5,5,5,5
18,0,US,73,NorthAmerica,7,1.6,2.6,3.2,2.4,4.3,1,5,1,5,1,4,1,1,1,4,2,4,5,2,1,2,2,2,3,3,4,3,4,4,3,3,2,3,4,4,3,4,4,3,1,5,3,4,2,3,5,1,4,2,4,2,5,4,4,4
18,0,US,73,NorthAmerica,7,2.1,2.9,3,3.2,3.2,1,4,3,2,2,5,2,4,2,4,2,4,3,4,1,2,3,4,5,5,4,3,1,3,3,3,3,3,2,3,2,1,5,4,5,3,3,3,1,3,2,2,5,3,2,3,4,2,5,2
18,0,US,73,NorthAmerica,7,1.7,2.1,2,2.8,3.8,1,4,2,5,2,4,2,5,2,4,2,4,2,4,2,2,2,1,4,2,4,2,4,2,4,2,4,2,2,2,3,4,4,4,2,4,4,3,2,4,4,2,4,2,4,2,4,3,4,3
18,0,US,73,NorthAmerica,7,2.4,2,4,3.2,4.3,2,3,3,4,2,3,1,3,3,4,2,4,2,5,2,2,2,2,3,2,1,5,2,4,1,3,1,2,4,3,3,3,4,2,3,3,3,2,2,3,4,1,4,1,4,2,4,4,5,4
18,0,US,73,NorthAmerica,7,2.6,1.8,4.5,3,3.3,2,3,2,4,3,2,2,3,3,4,2,5,3,4,1,2,2,1,2,2,1,4,1,5,1,5,1,4,4,3,3,4,3,3,2,4,3,2,4,4,4,3,2,3,4,3,4,3,5,2
18,0,US,73,NorthAmerica,7,3,1.6,4.4,3.3,3.9,3,3,3,3,4,3,3,3,3,4,2,5,2,5,2,1,2,2,2,1,1,4,1,5,2,5,1,4,4,3,4,3,4,3,2,4,4,3,4,4,5,3,3,2,4,3,4,4,4,5
18,0,US,73,NorthAmerica,7,3.1,1.9,3.8,2.1,4.4,3,3,5,3,4,2,2,4,3,4,2,5,2,3,2,1,3,2,2,1,2,3,2,4,2,5,2,4,3,3,4,4,2,5,1,5,4,4,2,2,4,1,5,1,3,1,5,4,4,4
18,0,US,73,NorthAmerica,7,2.7,1.9,4.2,3.8,4.4,3,4,3,4,4,2,2,4,3,4,2,5,5,2,1,1,1,1,2,1,1,4,4,4,1,4,1,5,4,4,4,1,5,2,2,2,2,2,3,5,5,1,5,1,5,5,5,3,5,5
18,0,US,73,NorthAmerica,7,2.1,2.7,2.5,3.8,3.8,2,4,2,4,2,4,2,4,3,4,2,4,4,2,3,2,2,2,2,4,3,2,4,2,2,3,4,2,2,3,3,2,4,2,3,2,5,3,4,4,3,2,4,2,4,3,4,4,4,4
18,0,US,73,NorthAmerica,7,2.9,2.5,4.9,2.4,3.7,2,3,4,4,4,2,3,4,3,4,2,4,4,2,2,2,2,2,1,4,1,5,2,5,1,5,1,5,5,5,2,4,4,2,2,4,2,4,2,2,3,1,5,2,3,4,5,2,5,3
18,0,US,73,NorthAmerica,7,2.9,2.1,3.8,3.8,3.5,3,3,4,3,3,3,3,4,3,4,2,4,2,4,2,2,2,2,3,2,1,4,4,4,2,4,2,4,4,3,4,2,4,2,3,2,4,2,3,4,4,2,3,3,4,2,4,2,4,3
18,0,US,73,NorthAmerica,7,2.9,1.8,3.3,2.7,2.9,3,3,3,2,2,3,4,4,3,4,2,4,2,4,2,1,3,1,2,1,2,3,2,3,3,2,2,4,3,3,4,4,3,3,2,3,2,3,3,2,3,3,4,3,3,1,2,1,3,2
18,0,US,73,NorthAmerica,7,3.2,2.8,2.2,3.1,3.7,3,3,4,3,4,3,3,3,4,4,2,4,4,2,4,2,2,2,4,2,5,2,3,2,4,1,2,3,2,2,4,5,4,3,2,3,5,4,4,3,4,2,5,4,4,1,4,4,3,2
18,0,US,73,NorthAmerica,7,2.6,1.7,4,3.9,3.9,1,3,5,5,3,3,2,4,4,4,2,4,3,5,2,2,2,1,1,1,1,4,4,5,2,4,3,5,5,3,4,2,5,3,1,2,4,2,5,5,4,4,5,3,4,2,4,4,4,5
18,0,US,73,NorthAmerica,7,3.3,1.9,3.8,2.5,4.5,4,3,5,2,1,3,5,4,4,4,2,5,2,2,2,1,2,1,1,3,4,5,4,5,1,5,1,3,4,2,3,5,5,5,1,4,5,4,2,3,4,1,5,1,3,1,5,3,5,5
18,0,US,73,NorthAmerica,7,3.8,2.2,3.5,2.2,5,3,2,5,4,4,2,5,2,5,4,2,5,2,5,1,4,4,2,4,1,4,5,1,3,5,5,4,3,5,4,1,2,4,2,1,5,2,5,2,2,5,1,5,1,5,1,5,5,5,5
18,0,US,73,NorthAmerica,7,3.1,1.6,3.4,2.3,3,3,2,4,3,4,4,2,4,5,4,2,4,2,4,2,1,2,1,1,1,2,4,4,4,2,4,4,2,4,4,2,4,4,3,2,1,1,4,1,1,2,4,3,4,4,2,3,1,4,5
18,0,US,73,NorthAmerica,7,3.4,2.9,3.3,3.5,4.7,3,2,4,3,3,2,4,4,5,4,2,4,3,4,3,4,4,3,3,3,4,5,3,3,3,2,2,4,3,4,4,1,5,3,1,2,4,3,2,4,5,1,5,1,4,1,5,5,4,4
18,0,US,73,NorthAmerica,7,1.2,2.8,1.5,3,3.4,1,5,1,4,1,5,1,4,1,5,2,4,4,4,3,4,4,2,4,1,4,2,5,2,4,1,5,2,1,1,4,3,4,2,1,3,5,3,1,2,3,4,5,4,4,1,3,2,4,4
18,0,US,73,NorthAmerica,7,1.3,2.8,2.9,4.4,4.3,1,5,2,5,2,5,1,4,1,5,2,4,3,3,4,3,2,2,4,3,4,5,2,2,4,4,4,3,2,3,4,1,4,2,4,1,5,2,5,4,4,1,4,1,5,2,4,3,5,4
18,0,US,73,NorthAmerica,7,1.9,3.6,4.3,3.3,3.3,3,5,3,4,3,3,1,5,1,5,2,4,4,1,4,5,4,4,2,4,1,4,3,5,2,5,2,4,5,4,3,4,5,3,3,4,4,3,4,4,4,4,2,2,3,3,4,3,5,3
18,0,US,73,NorthAmerica,7,1.4,2.2,2.3,3.7,3.6,2,4,2,5,1,4,1,5,1,5,2,4,3,4,4,1,2,2,2,2,4,2,1,2,4,1,5,4,2,2,4,3,4,2,2,4,5,2,5,4,4,2,4,2,4,4,4,4,2,4
18,0,US,73,NorthAmerica,7,1,2,3,4.2,4.5,1,5,1,5,1,5,1,5,1,5,2,4,2,2,1,1,1,1,2,4,2,2,1,2,4,3,2,3,3,2,4,1,5,1,3,1,4,1,2,4,5,2,4,1,5,1,4,4,5,4
18,0,US,73,NorthAmerica,7,2.2,2,4,4.4,3.4,2,3,3,4,2,2,1,4,2,5,2,4,3,4,2,2,2,1,2,2,1,4,2,4,2,4,2,4,4,3,5,2,5,2,4,2,5,1,4,4,4,2,2,4,4,3,4,3,4,4
18,0,US,73,NorthAmerica,7,1.7,2,3.7,3.9,3.8,2,5,2,4,1,3,1,4,2,5,2,5,3,3,3,1,2,1,2,2,1,4,1,5,4,5,3,3,3,2,4,2,5,2,2,1,4,2,4,3,3,2,3,1,4,3,5,3,4,4
18,0,US,73,NorthAmerica,7,2.1,1.8,3.4,4.4,3.4,2,2,4,4,1,4,1,4,2,5,2,3,2,5,3,2,1,1,2,1,2,5,2,3,2,3,2,2,2,3,4,2,5,2,4,1,5,1,3,5,3,2,3,3,4,3,5,2,2,5
18,0,US,73,NorthAmerica,7,2.3,1.5,4.5,4,3.1,1,4,4,3,3,2,2,5,2,5,2,5,1,1,1,1,1,1,1,1,1,3,1,5,2,4,1,5,5,4,4,2,4,1,4,2,4,1,3,3,1,2,4,2,3,1,3,1,3,3
18,0,US,73,NorthAmerica,7,3.2,2.1,3.4,4,3.9,5,3,3,3,4,3,4,3,3,5,2,4,4,4,2,2,2,1,2,2,3,3,2,3,3,4,3,4,3,4,4,2,4,2,5,3,3,1,4,4,3,3,4,3,5,1,4,3,4,5
18,0,US,73,NorthAmerica,7,2.3,2.8,3.4,1.8,4.1,3,2,3,4,1,3,1,4,3,5,2,4,1,3,1,5,4,3,4,3,2,4,4,4,2,3,2,3,4,2,2,4,2,4,1,4,1,4,2,2,2,1,5,1,4,1,5,1,5,4
18,0,US,73,NorthAmerica,7,1.9,3.6,2.4,4.2,5,1,3,2,5,2,3,1,4,3,5,2,3,4,1,2,3,5,5,4,3,2,2,3,3,4,2,4,2,2,2,4,1,5,1,4,2,4,3,4,4,5,1,5,1,5,1,5,5,5,5
18,0,US,73,NorthAmerica,7,2.7,2.1,3.2,3.6,3.2,3,2,3,3,3,3,2,4,3,5,2,4,2,3,3,2,2,1,2,2,2,4,4,4,3,2,2,3,3,3,4,5,3,2,2,2,4,1,5,4,5,2,3,5,4,4,5,4,1,3
18,0,US,73,NorthAmerica,7,3,1.7,3.7,3.4,4.1,3,3,5,3,4,3,2,4,4,5,2,5,3,4,1,2,1,1,2,2,2,4,4,4,2,4,2,3,4,4,5,5,5,2,3,4,4,3,3,4,4,1,5,4,5,1,5,4,2,4
18,0,US,73,NorthAmerica,7,3.3,2.3,2.8,4.5,4.2,2,2,4,3,5,1,3,4,4,5,2,4,1,2,1,4,2,2,4,1,1,1,1,1,1,2,4,1,2,4,5,1,5,1,5,1,4,2,4,3,3,1,5,4,5,1,5,2,5,5
18,0,US,73,NorthAmerica,7,1.5,1.6,2.3,4.5,3.7,1,5,2,5,2,5,1,5,4,5,2,4,2,5,2,2,1,1,2,1,4,2,2,2,4,2,4,2,2,3,4,2,5,1,5,1,5,2,4,4,4,3,4,3,4,2,4,4,4,3
18,0,US,73,NorthAmerica,7,2.5,1.7,4.8,3,4.7,3,4,3,5,1,1,1,3,5,5,2,5,3,5,2,2,2,1,2,1,1,5,1,5,1,5,1,4,5,4,4,5,5,4,4,5,3,3,3,4,5,2,5,1,4,1,4,5,5,5
18,0,US,73,NorthAmerica,7,1.9,2.1,4.9,3.7,3.6,2,4,3,5,2,5,1,5,5,5,2,5,4,3,3,4,1,1,1,1,1,4,1,5,1,5,1,5,5,5,4,5,5,1,3,5,4,1,4,5,3,1,2,1,3,2,4,3,4,3
18,0,US,73,NorthAmerica,7,4.7,2.7,2.2,4.7,3.5,3,1,4,1,5,1,5,1,5,1,3,3,4,3,2,2,2,1,4,3,4,3,3,1,4,3,3,3,1,1,5,2,5,1,3,1,5,1,5,5,5,5,4,4,4,3,3,5,4,4
18,0,US,73,NorthAmerica,7,3.7,2.4,4.5,3.9,4.1,1,2,5,2,5,3,5,3,3,2,3,4,5,3,3,3,2,1,1,1,1,5,2,4,2,5,1,4,4,5,4,4,5,1,2,2,4,2,5,4,3,4,5,1,4,1,4,4,4,5
18,0,US,73,NorthAmerica,7,4,3.3,4.1,2.4,3.7,4,2,4,2,4,2,4,2,4,2,3,5,5,2,2,2,4,4,4,4,1,4,4,5,1,4,2,4,4,4,4,5,2,4,3,4,2,2,2,2,4,2,4,2,4,4,3,4,4,4
18,0,US,73,NorthAmerica,7,4,2.9,3.8,3.7,3.6,4,1,4,2,4,2,4,3,4,2,3,3,3,3,3,3,3,3,2,3,3,4,2,4,2,5,2,4,4,2,4,3,4,3,5,3,4,3,4,4,3,3,4,3,4,1,4,3,3,4
18,0,US,73,NorthAmerica,7,4.4,1.9,3.9,4,3.6,3,1,5,1,5,3,5,2,5,2,3,5,3,1,2,1,1,1,1,1,5,5,1,4,2,3,1,3,4,5,4,4,5,3,4,1,4,1,4,4,4,2,4,1,1,1,4,3,3,3
18,0,US,73,NorthAmerica,7,3,3.1,3.9,4,4.4,3,5,2,4,4,2,2,3,5,2,3,4,3,1,2,2,4,2,4,4,2,4,1,4,2,4,4,5,4,3,4,3,4,2,4,1,4,1,4,3,4,2,5,1,5,2,4,4,4,5
18,0,US,73,NorthAmerica,7,4,2.3,3.8,3.2,4,3,1,5,3,5,3,4,3,5,2,3,5,5,4,2,2,2,2,2,2,2,5,3,4,2,4,3,4,4,3,4,4,4,2,2,2,4,3,2,3,4,2,5,3,4,1,4,3,4,4
18,0,US,73,NorthAmerica,7,3.6,3.5,3.5,4,4.2,5,2,5,4,5,4,3,5,5,2,3,3,4,2,2,2,5,5,3,4,5,2,2,3,2,4,3,5,5,4,4,1,5,1,5,4,3,4,4,5,3,1,5,1,4,3,5,3,4,5
18,0,US,73,NorthAmerica,7,2.7,2.8,3.4,3.4,4.4,2,3,3,4,3,3,3,3,2,3,3,5,4,3,3,4,4,2,3,1,3,4,3,4,3,3,3,3,4,4,4,4,4,3,4,4,4,2,4,3,4,2,5,1,4,1,5,3,4,5
18,0,US,73,NorthAmerica,7,3.6,3.2,4.4,2.9,3.4,3,2,4,2,4,2,4,3,3,3,3,4,4,3,3,4,3,3,4,3,1,4,3,5,1,4,1,4,5,4,2,4,3,4,4,2,3,3,3,3,3,3,4,2,3,2,3,3,4,3
18,0,US,73,NorthAmerica,7,4.1,2.6,4.9,4.1,3.6,3,1,5,2,5,1,4,3,4,3,3,5,4,2,4,2,3,1,2,2,1,5,1,5,1,5,1,5,4,5,4,2,5,2,4,2,5,3,4,4,3,3,5,3,4,1,3,1,5,4
18,0,US,73,NorthAmerica,7,3.5,2.4,4.6,3.6,2.9,3,3,5,3,4,3,4,3,4,3,3,4,4,3,2,3,2,1,2,2,1,4,1,5,1,3,1,5,5,4,4,3,3,2,2,2,4,1,4,3,2,2,2,4,3,3,4,2,4,3
18,0,US,73,NorthAmerica,7,2.8,3.1,4.5,3.6,3.1,2,3,4,3,3,3,1,4,4,3,3,4,3,4,2,4,5,4,3,3,1,4,2,5,1,5,2,4,5,4,4,3,4,1,3,3,3,2,3,4,1,3,4,3,3,2,5,1,3,4
18,0,US,73,NorthAmerica,7,4.8,3.2,4.3,3.3,3.6,5,1,5,1,5,1,5,1,5,3,3,5,5,1,3,5,3,1,5,1,5,5,4,5,1,5,1,5,5,5,1,5,5,3,3,4,5,3,5,5,3,5,5,5,5,1,5,1,5,5
18,0,US,73,NorthAmerica,7,4.1,2.7,4,3.3,3.8,4,1,4,2,5,1,2,2,5,3,3,4,3,3,3,2,2,3,3,3,1,4,3,5,3,5,4,4,4,5,3,4,4,3,2,3,4,2,4,4,4,1,2,2,4,2,3,4,3,5
18,0,US,73,NorthAmerica,7,4,3.2,3.7,3.5,3.9,4,2,5,3,5,4,5,2,5,3,3,4,5,3,3,3,3,3,4,3,2,5,5,4,2,5,3,4,4,3,4,3,5,4,4,4,4,3,4,4,3,4,5,1,5,2,4,2,4,5
18,0,US,73,NorthAmerica,7,2.3,3.2,3.9,4.1,4.4,2,4,3,4,2,3,2,3,2,4,3,3,5,2,2,2,4,3,2,4,2,4,3,4,1,3,2,5,4,3,4,4,4,2,4,1,5,2,5,4,5,2,5,2,4,1,4,5,5,3
18,0,US,73,NorthAmerica,7,2.4,3.5,3.8,3.7,4,2,4,3,5,4,2,2,4,2,4,3,3,5,2,1,3,5,4,4,3,2,4,3,5,2,4,2,3,4,3,4,1,4,4,4,1,4,3,4,2,4,1,5,5,3,1,3,5,4,5
18,0,US,73,NorthAmerica,7,2.8,3.6,4.7,3.8,4.5,3,3,5,3,3,3,2,4,2,4,3,4,5,3,4,4,4,3,4,4,1,5,3,5,1,5,1,4,5,5,4,3,5,3,1,1,3,2,5,5,5,1,5,1,3,1,4,4,5,4
18,0,US,73,NorthAmerica,7,2.5,2.4,2.8,2.9,4.2,2,3,3,5,2,4,3,2,3,4,3,2,2,3,1,2,3,1,4,1,5,3,4,3,4,4,4,3,4,4,3,4,3,2,1,3,4,2,2,3,5,1,4,4,5,2,4,4,4,5
18,0,US,73,NorthAmerica,7,3.6,2.2,3.6,3.8,3.7,5,3,4,3,4,3,5,2,3,4,3,4,3,3,2,2,2,1,2,2,3,4,2,3,3,4,2,4,3,4,4,2,4,2,5,2,3,3,4,3,4,4,5,3,5,1,3,3,3,4
18,0,US,73,NorthAmerica,7,2.7,2.4,2.9,4.3,4.9,2,2,4,4,2,2,2,4,3,4,3,5,4,3,1,3,3,2,3,1,3,3,4,2,3,4,3,4,2,3,5,1,5,2,3,2,5,2,4,4,5,1,5,2,5,1,5,5,5,5
18,0,US,73,NorthAmerica,7,2.7,3.8,3.6,2.9,3.6,2,3,4,5,4,2,2,4,3,4,3,4,5,1,3,4,4,4,4,4,2,3,4,4,2,4,2,4,4,3,1,3,5,4,2,2,4,3,1,4,3,2,4,3,4,2,4,4,4,2
18,0,US,73,NorthAmerica,7,2.3,3.3,3.5,4,4,2,3,2,4,2,3,2,4,3,4,3,3,4,2,4,2,3,3,3,4,2,3,2,4,2,4,3,3,4,2,4,2,4,2,4,2,4,2,4,4,4,2,4,2,4,2,4,4,4,4
18,0,US,73,NorthAmerica,7,3.1,2.8,3.5,3.7,5,3,3,5,3,3,3,5,5,3,4,3,4,5,3,3,3,2,2,3,2,2,4,5,4,2,3,2,4,3,4,4,1,5,3,3,2,4,3,3,3,5,1,5,1,5,1,5,5,5,5
18,0,US,73,NorthAmerica,7,3.2,2.7,4.3,3.3,3.6,3,3,5,3,4,3,5,5,3,4,3,3,4,3,1,3,4,1,3,2,2,4,2,4,2,5,1,4,5,4,4,3,4,3,3,2,3,2,2,3,2,2,4,2,4,1,4,2,2,5
18,0,US,73,NorthAmerica,7,2.8,2.4,4.9,4.2,4.4,2,4,3,3,4,4,2,2,4,4,3,4,4,3,3,2,2,1,2,2,1,5,1,5,1,5,1,4,5,5,4,1,5,2,3,2,5,3,4,5,5,2,5,5,5,1,5,4,5,5
18,0,US,73,NorthAmerica,7,3.9,3.1,3.8,2.8,3.2,4,1,5,2,5,2,3,3,4,4,3,4,3,4,4,3,4,4,4,2,2,5,3,4,2,3,2,4,4,3,3,4,3,2,3,3,3,3,2,2,3,4,3,2,4,2,3,2,3,4
